counter,red_count,blue_count,total_count,average_radiation_level,total_radiation_level
942,2,2,4,0.0,0
943,2,2,4,0.0,0
944,2,2,4,0.0,0
945,2,2,4,0.0,0
946,2,2,4,1.0,1
947,2,2,4,2.0,2
948,2,2,4,3.0,3
949,2,2,4,4.0,4
950,2,2,4,5.0,5
951,2,2,4,6.0,6
952,2,2,4,7.0,7
953,2,2,4,8.0,8
954,2,2,4,9.0,9
955,2,2,4,10.0,10
956,2,2,4,11.0,11
957,2,2,4,12.0,12
958,2,2,4,13.0,13
959,2,2,4,14.0,14
960,2,2,4,15.0,15
961,2,2,4,16.0,16
962,2,2,4,17.0,17
963,2,2,4,18.0,18
964,2,2,4,19.0,19
965,2,2,4,20.0,20
966,2,2,4,21.0,21
967,2,2,4,22.0,22
968,2,2,4,23.0,23
969,2,2,4,24.0,24
970,2,2,4,25.0,25
971,2,2,4,26.0,26
972,2,2,4,27.0,27
973,2,2,4,28.0,28
974,2,2,4,29.0,29
975,2,2,4,30.0,30
976,2,2,4,31.0,31
977,2,2,4,32.0,32
978,2,2,4,33.0,33
979,2,2,4,34.0,34
980,2,2,4,35.0,35
981,2,2,4,36.0,36
982,2,2,4,37.0,37
983,2,2,4,38.0,38
984,2,2,4,39.0,39
985,2,2,4,40.0,40
986,2,2,4,41.0,41
987,2,2,4,42.0,42
988,2,2,4,43.0,43
989,2,2,4,44.0,44
990,2,2,4,45.0,45
991,2,2,4,46.0,46
992,2,2,4,47.0,47
993,2,2,4,48.0,48
994,2,2,4,49.0,49
995,2,2,4,50.0,50
996,2,2,4,51.0,51
997,2,2,4,52.0,52
998,2,2,4,53.0,53
999,2,2,4,54.0,54
1000,2,2,4,55.0,55
1001,2,2,4,56.0,56
1002,2,2,4,57.0,57
1003,2,2,4,58.0,58
