counter,red_count,blue_count,total_count,average_radiation_level,total_radiation_level
491,2,0,2,0.0,0
492,2,0,2,0.0,0
493,2,0,2,0.0,0
494,2,0,2,0.0,0
495,2,0,2,0.0,0
496,2,0,2,0.0,0
497,2,0,2,0.0,0
498,2,0,2,0.0,0
499,2,0,2,0.0,0
500,2,0,2,0.0,0
501,2,0,2,0.0,0
502,2,0,2,0.0,0
503,2,0,2,0.0,0
504,2,0,2,0.0,0
505,2,0,2,0.0,0
506,2,0,2,0.0,0
507,2,0,2,0.0,0
508,2,0,2,0.0,0
509,2,0,2,0.0,0
510,2,0,2,0.0,0
511,2,0,2,0.0,0
512,2,0,2,0.0,0
513,2,0,2,0.0,0
514,2,0,2,0.0,0
515,2,0,2,0.0,0
516,2,0,2,0.0,0
517,2,0,2,0.0,0
518,2,0,2,0.0,0
519,2,0,2,0.0,0
520,2,0,2,0.0,0
521,2,0,2,0.0,0
522,2,0,2,0.0,0
523,2,0,2,0.0,0
524,2,0,2,0.0,0
525,2,0,2,0.0,0
526,2,0,2,0.0,0
527,2,0,2,0.0,0
528,2,0,2,0.0,0
529,2,0,2,0.0,0
530,2,0,2,1.0,1
531,2,0,2,2.0,2
532,2,0,2,3.0,3
533,2,0,2,4.0,4
534,2,0,2,5.0,5
535,2,0,2,6.0,6
536,2,0,2,7.0,7
537,2,0,2,8.0,8
538,2,0,2,9.0,9
539,2,0,2,10.0,10
540,2,0,2,11.0,11
541,2,0,2,12.0,12
542,2,0,2,13.0,13
543,2,0,2,14.0,14
544,2,0,2,15.0,15
545,2,0,2,16.0,16
546,2,0,2,17.0,17
547,2,0,2,18.0,18
548,2,0,2,19.0,19
549,2,0,2,20.0,20
550,2,0,2,21.0,21
551,2,0,2,22.0,22
552,2,0,2,23.0,23
553,2,0,2,24.0,24
554,2,0,2,25.0,25
555,2,0,2,26.0,26
556,2,0,2,27.0,27
557,2,0,2,28.0,28
558,2,0,2,29.0,29
559,2,0,2,30.0,30
560,2,0,2,31.0,31
561,2,0,2,32.0,32
562,2,0,2,33.0,33
563,2,0,2,34.0,34
564,2,0,2,35.0,35
565,2,0,2,36.0,36
566,2,0,2,37.0,37
567,2,0,2,38.0,38
568,2,0,2,39.0,39
569,2,0,2,40.0,40
570,2,0,2,41.0,41
571,2,0,2,42.0,42
572,2,0,2,43.0,43
573,2,0,2,44.0,44
574,2,0,2,45.0,45
575,2,0,2,46.0,46
576,2,0,2,47.0,47
577,2,0,2,48.0,48
578,2,0,2,49.0,49
579,2,0,2,50.0,50
580,2,0,2,51.0,51
581,2,0,2,52.0,52
582,2,0,2,53.0,53
583,2,0,2,54.0,54
584,2,0,2,55.0,55
585,2,0,2,56.0,56
586,2,0,2,57.0,57
587,2,0,2,58.0,58
588,2,0,2,59.0,59
589,2,0,2,60.0,60
590,2,0,2,61.0,61
591,2,0,2,62.0,62
592,2,0,2,63.0,63
593,2,0,2,64.0,64
594,2,0,2,65.0,65
595,2,0,2,66.0,66
596,2,0,2,67.0,67
597,2,0,2,68.0,68
598,2,0,2,69.0,69
599,2,0,2,70.0,70
600,2,0,2,71.0,71
601,2,0,2,72.0,72
602,2,0,2,73.0,73
603,2,0,2,74.0,74
604,2,0,2,75.0,75
605,2,0,2,76.0,76
606,2,0,2,77.0,77
607,2,0,2,78.0,78
608,2,0,2,79.0,79
609,2,0,2,80.0,80
610,2,0,2,81.0,81
611,2,0,2,82.0,82
612,2,0,2,83.0,83
613,2,0,2,84.0,84
614,2,0,2,85.0,85
615,2,0,2,86.0,86
616,2,0,2,87.0,87
617,2,0,2,88.0,88
618,2,0,2,89.0,89
619,2,0,2,90.0,90
620,2,0,2,91.0,91
621,3,0,3,92.0,92
622,3,0,3,92.0,92
623,3,0,3,92.0,92
624,3,0,3,92.0,92
625,3,0,3,92.0,92
626,3,0,3,92.0,92
627,3,0,3,92.0,92
628,3,0,3,92.0,92
629,3,0,3,92.0,92
630,3,0,3,92.0,92
631,3,0,3,92.0,92
632,3,0,3,92.0,92
633,3,0,3,92.0,92
634,3,0,3,92.0,92
635,3,0,3,92.0,92
636,3,0,3,92.0,92
637,3,0,3,92.0,92
638,3,0,3,92.0,92
639,3,0,3,92.0,92
640,3,0,3,92.0,92
641,3,0,3,92.0,92
642,3,0,3,92.0,92
643,3,0,3,92.0,92
644,3,0,3,92.0,92
645,3,0,3,92.0,92
646,3,0,3,92.0,92
647,3,0,3,92.0,92
648,3,0,3,92.0,92
649,3,0,3,92.0,92
650,3,0,3,92.0,92
651,3,0,3,92.0,92
652,3,0,3,92.0,92
653,3,0,3,92.0,92
654,3,0,3,92.0,92
655,3,0,3,92.0,92
656,3,0,3,92.0,92
657,3,0,3,92.0,92
658,3,0,3,92.0,92
659,3,0,3,92.0,92
660,3,0,3,92.0,92
661,3,0,3,92.0,92
662,3,0,3,0.0,0
663,3,0,3,0.0,0
664,3,0,3,0.0,0
665,3,0,3,0.0,0
666,3,0,3,0.0,0
667,3,0,3,0.0,0
668,3,0,3,0.0,0
669,3,0,3,0.0,0
670,3,0,3,0.0,0
671,3,0,3,0.0,0
672,3,0,3,0.0,0
673,3,0,3,0.0,0
674,3,0,3,0.0,0
675,3,0,3,0.0,0
676,3,0,3,0.0,0
677,3,0,3,0.0,0
678,3,0,3,0.0,0
679,3,0,3,0.0,0
680,3,0,3,0.0,0
681,3,0,3,0.0,0
682,3,0,3,0.0,0
683,3,0,3,0.0,0
684,3,0,3,0.0,0
685,3,0,3,0.0,0
686,3,0,3,0.0,0
687,3,0,3,0.0,0
688,3,0,3,0.0,0
689,3,0,3,0.0,0
690,3,0,3,0.0,0
691,3,0,3,0.0,0
692,3,0,3,0.0,0
693,3,0,3,0.0,0
694,3,0,3,0.0,0
695,3,0,3,0.0,0
696,3,0,3,0.0,0
697,3,0,3,0.0,0
698,3,0,3,0.0,0
699,3,0,3,0.0,0
700,3,0,3,0.0,0
701,3,0,3,0.0,0
702,3,0,3,0.0,0
703,3,0,3,0.0,0
704,3,0,3,0.0,0
705,3,0,3,0.0,0
706,3,0,3,0.0,0
707,3,0,3,0.0,0
708,3,0,3,0.0,0
709,3,0,3,0.0,0
710,3,0,3,0.0,0
711,3,0,3,0.0,0
712,3,0,3,0.0,0
713,3,0,3,0.0,0
714,3,0,3,0.0,0
715,3,0,3,0.0,0
716,3,0,3,0.0,0
717,3,0,3,0.0,0
718,3,0,3,0.0,0
719,3,0,3,0.0,0
720,3,0,3,0.0,0
721,3,0,3,0.0,0
722,3,0,3,0.0,0
723,3,0,3,0.0,0
724,3,0,3,0.0,0
725,3,0,3,0.0,0
726,3,0,3,0.0,0
727,3,0,3,0.0,0
728,3,0,3,0.0,0
729,3,0,3,0.0,0
730,3,0,3,0.0,0
731,3,0,3,0.0,0
732,3,0,3,0.0,0
733,3,0,3,0.0,0
734,3,0,3,0.0,0
735,3,0,3,0.0,0
736,3,0,3,0.0,0
737,3,0,3,0.0,0
738,3,0,3,0.0,0
739,3,0,3,0.0,0
740,3,0,3,0.0,0
741,3,0,3,0.0,0
742,3,0,3,0.0,0
743,3,0,3,0.0,0
744,3,0,3,0.0,0
